epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.664,1.183,0.95992,1.15636,1,0.69153,0.94109,0.62873,1.15602,1.21325,0.99897,0.000329861,0.000329861,0.0673438
2,208.26,1.07522,0.52224,1.07554,0.97652,0.93491,0.97422,0.74093,0.88564,0.53506,0.92884,0.000662941,0.000662941,0.0343435
3,303.718,1.08395,0.48986,1.08305,0.95998,0.92899,0.95647,0.70014,1.0019,0.51699,0.97682,0.000995007,0.000995007,0.00134223
4,397.314,1.07607,0.47729,1.05962,0.98687,0.88957,0.97476,0.74482,0.88882,0.42133,0.92498,0.000996569,0.000996569,0.000996569
5,489.729,1.04286,0.44742,1.05759,0.98036,0.94083,0.97442,0.77586,0.79171,0.40517,0.9255,0.000993906,0.000993906,0.000993906
6,581.399,1.06687,0.4366,1.07045,0.94615,0.94675,0.98285,0.77714,0.78738,0.37341,0.89749,0.000990489,0.000990489,0.000990489
7,673.669,1.0578,0.43811,1.06848,0.99325,0.94083,0.98132,0.72714,0.94217,0.37672,0.92107,0.000986323,0.000986323,0.000986323
8,768.969,1.03966,0.42033,1.06051,0.9594,0.98817,0.99268,0.76977,0.85848,0.34657,0.92268,0.000981415,0.000981415,0.000981415
9,866.42,0.99746,0.40022,1.04475,0.99328,0.91716,0.97003,0.73219,0.85944,0.43123,0.94473,0.000975773,0.000975773,0.000975773
10,964.394,1.02475,0.40921,1.05723,0.98765,0.94644,0.97023,0.71696,0.92475,0.37109,0.93031,0.000969405,0.000969405,0.000969405
11,1060.65,1.0119,0.40393,1.04268,0.99424,0.9645,0.98327,0.7181,0.89818,0.34386,0.93218,0.00096232,0.00096232,0.00096232
12,1153.65,0.98423,0.3864,1.04076,0.97591,0.98225,0.99322,0.77639,0.7893,0.32448,0.89062,0.000954531,0.000954531,0.000954531
13,1244.84,0.97216,0.38286,1.04516,0.98439,0.95858,0.98726,0.78622,0.77465,0.31541,0.91203,0.000946048,0.000946048,0.000946048
14,1337.62,0.97447,0.37857,1.03436,0.98174,0.98225,0.99143,0.7631,0.82757,0.28944,0.89819,0.000936886,0.000936886,0.000936886
15,1432.1,0.98091,0.37437,1.03694,0.99199,0.93491,0.9703,0.74916,0.82016,0.35639,0.90262,0.000927057,0.000927057,0.000927057
16,1524.88,0.9549,0.36509,1.031,0.9592,0.97375,0.98747,0.749,0.89392,0.31415,0.93117,0.000916577,0.000916577,0.000916577
17,1618.27,0.96073,0.35743,1.01955,0.97063,0.97771,0.99282,0.75715,0.84509,0.2917,0.88898,0.000905463,0.000905463,0.000905463
18,1710.8,0.95847,0.34822,1.01456,0.9741,0.97041,0.98642,0.78787,0.73449,0.3019,0.88461,0.000893732,0.000893732,0.000893732
19,1802.88,0.9518,0.35111,1.02925,0.99181,0.9645,0.99222,0.75488,0.87372,0.30205,0.90531,0.000881401,0.000881401,0.000881401
20,1895.58,0.9359,0.35295,1.02039,0.98197,0.96695,0.99188,0.78088,0.80331,0.29818,0.90239,0.00086849,0.00086849,0.00086849
21,1987.29,0.9434,0.34958,1.02871,0.96815,0.97633,0.99068,0.81704,0.72385,0.28162,0.88412,0.000855018,0.000855018,0.000855018
22,2078.85,0.90668,0.32694,1.00548,0.99278,0.98225,0.99293,0.77613,0.75008,0.27516,0.87933,0.000841006,0.000841006,0.000841006
23,2172.77,0.9151,0.32562,1.00456,0.98077,0.98817,0.99392,0.82292,0.68911,0.26124,0.86837,0.000826477,0.000826477,0.000826477
24,2265,0.92277,0.33573,1.01455,0.99233,0.97041,0.98503,0.82051,0.71932,0.26528,0.89265,0.000811452,0.000811452,0.000811452
25,2356.32,0.91026,0.32531,0.99818,0.99218,0.98225,0.99327,0.78558,0.7938,0.26395,0.88166,0.000795954,0.000795954,0.000795954
26,2452.06,0.91533,0.33153,1.00284,0.98749,0.98817,0.99429,0.78769,0.79196,0.26588,0.88353,0.000780007,0.000780007,0.000780007
27,2545.18,0.89369,0.31409,1.00228,0.99163,0.97633,0.99158,0.79455,0.73806,0.2654,0.87484,0.000763637,0.000763637,0.000763637
28,2640.79,0.91059,0.31654,1.00422,0.98814,0.98573,0.99435,0.82114,0.7131,0.25407,0.87732,0.000746868,0.000746868,0.000746868
29,2733.15,0.90557,0.32333,1.00044,0.98654,0.98225,0.99348,0.75624,0.84918,0.2701,0.89537,0.000729725,0.000729725,0.000729725
30,2826.62,0.88007,0.31208,0.98951,0.99274,0.95858,0.9857,0.77755,0.77034,0.28341,0.87845,0.000712237,0.000712237,0.000712237
31,2920.44,0.88092,0.31009,0.98858,0.98807,0.98048,0.98705,0.8053,0.8056,0.25313,0.88978,0.000694428,0.000694428,0.000694428
32,3014.9,0.86914,0.31394,0.98789,0.9928,0.97041,0.99033,0.83588,0.64037,0.26529,0.85386,0.000676328,0.000676328,0.000676328
33,3108.32,0.87821,0.29391,0.99313,0.97814,0.98817,0.98941,0.79931,0.71435,0.25533,0.89394,0.000657963,0.000657963,0.000657963
34,3202.09,0.86986,0.30138,1.00445,0.98814,0.97041,0.99442,0.74296,0.87789,0.26259,0.90015,0.000639363,0.000639363,0.000639363
35,3297.09,0.87602,0.30319,0.99991,0.98802,0.97601,0.98634,0.8112,0.70785,0.24814,0.87196,0.000620555,0.000620555,0.000620555
36,3389.48,0.89421,0.30302,1.00255,0.98212,0.97503,0.99337,0.7981,0.75909,0.26426,0.8734,0.00060157,0.00060157,0.00060157
37,3482.6,0.88074,0.2975,0.99345,0.99405,0.98813,0.99357,0.83833,0.66645,0.23757,0.86284,0.000582435,0.000582435,0.000582435
38,3575.84,0.85989,0.29392,0.98677,0.98782,0.95941,0.98094,0.81377,0.65878,0.25246,0.85476,0.000563181,0.000563181,0.000563181
39,3667.79,0.87563,0.29658,0.99249,0.99237,0.95858,0.99021,0.77406,0.84484,0.26209,0.89729,0.000543837,0.000543837,0.000543837
40,3761.02,0.86044,0.28843,0.99031,0.98234,0.98763,0.99351,0.78971,0.7668,0.23324,0.88182,0.000524434,0.000524434,0.000524434
41,3852.79,0.83839,0.28178,0.97446,0.97669,0.99162,0.99423,0.84551,0.66754,0.22739,0.87369,0.000505,0.000505,0.000505
42,3944.87,0.84097,0.2899,0.98643,0.98695,0.97041,0.992,0.835,0.62532,0.23323,0.8548,0.000485566,0.000485566,0.000485566
43,4037.94,0.84192,0.28203,0.9791,0.99374,0.97041,0.99295,0.82337,0.70329,0.23012,0.86615,0.000466163,0.000466163,0.000466163
44,4130.23,0.84637,0.28459,0.98448,0.99393,0.96919,0.98791,0.834,0.63966,0.23219,0.8542,0.000446819,0.000446819,0.000446819
45,4222.82,0.84455,0.28338,0.98382,0.98808,0.98137,0.99223,0.82312,0.66096,0.22228,0.85704,0.000427565,0.000427565,0.000427565
46,4314.69,0.81171,0.26861,0.97422,0.9763,0.97518,0.99147,0.83821,0.64554,0.22321,0.85493,0.00040843,0.00040843,0.00040843
47,4407.92,0.81914,0.27125,0.97854,0.99397,0.97607,0.99201,0.83491,0.63193,0.22315,0.85421,0.000389445,0.000389445,0.000389445
48,4500.33,0.838,0.27209,0.98122,0.98244,0.97041,0.99179,0.81536,0.69498,0.22801,0.86914,0.000370637,0.000370637,0.000370637
49,4593.7,0.81138,0.26421,0.96325,0.98127,0.97633,0.99312,0.85274,0.6128,0.22261,0.8486,0.000352037,0.000352037,0.000352037
50,4686.28,0.8252,0.26795,0.96775,0.99192,0.95266,0.98906,0.82534,0.68155,0.23683,0.8627,0.000333672,0.000333672,0.000333672
51,4778.58,0.83915,0.26878,0.97541,0.99394,0.97035,0.99106,0.85161,0.64103,0.21561,0.86135,0.000315572,0.000315572,0.000315572
52,4871.44,0.79617,0.26227,0.9592,0.99393,0.96926,0.99342,0.79319,0.75459,0.22458,0.8703,0.000297763,0.000297763,0.000297763
53,4966.6,0.78394,0.25583,0.96339,0.99397,0.97483,0.99425,0.79346,0.75405,0.2266,0.87527,0.000280275,0.000280275,0.000280275
54,5059.92,0.79618,0.26122,0.96271,0.98679,0.97041,0.99217,0.80358,0.72444,0.22558,0.86542,0.000263132,0.000263132,0.000263132
55,5152.2,0.81195,0.2568,0.96171,0.99394,0.96983,0.99318,0.79096,0.78224,0.22889,0.87176,0.000246363,0.000246363,0.000246363
56,5245.32,0.78716,0.25306,0.94847,0.99191,0.98225,0.99221,0.84542,0.64374,0.21012,0.85231,0.000229993,0.000229993,0.000229993
57,5337.8,0.79029,0.24947,0.95246,0.99313,0.98817,0.99169,0.83024,0.69935,0.21081,0.86404,0.000214046,0.000214046,0.000214046
58,5432.11,0.78018,0.247,0.95345,0.98701,0.98817,0.99326,0.83084,0.7042,0.21171,0.86487,0.000198548,0.000198548,0.000198548
59,5524.53,0.77365,0.24366,0.95305,0.98816,0.9877,0.9936,0.82993,0.68208,0.21583,0.8596,0.000183523,0.000183523,0.000183523
60,5615.72,0.76975,0.25196,0.95274,0.98815,0.98702,0.993,0.83204,0.65576,0.20737,0.84808,0.000168994,0.000168994,0.000168994
61,5708.87,0.79484,0.25274,0.96636,0.98729,0.97633,0.9932,0.82647,0.67219,0.21014,0.85141,0.000154982,0.000154982,0.000154982
62,5805.99,0.77046,0.24606,0.95647,0.99397,0.9759,0.99195,0.85223,0.59264,0.2042,0.83783,0.00014151,0.00014151,0.00014151
63,5900.19,0.75383,0.23839,0.94343,0.99396,0.97402,0.99324,0.84228,0.65477,0.20852,0.84929,0.000128599,0.000128599,0.000128599
64,5995.23,0.75633,0.23706,0.93736,0.99334,0.97633,0.98964,0.84549,0.62411,0.21193,0.84784,0.000116268,0.000116268,0.000116268
65,6091.59,0.79355,0.24719,0.95733,0.98801,0.97493,0.99161,0.82838,0.66234,0.20716,0.8502,0.000104537,0.000104537,0.000104537
66,6186.91,0.76122,0.24027,0.94088,0.98223,0.98114,0.99131,0.82971,0.67733,0.20696,0.854,9.34225e-05,9.34225e-05,9.34225e-05
67,6282.22,0.74755,0.23619,0.9403,0.98223,0.98134,0.99091,0.8219,0.71611,0.20839,0.86057,8.29431e-05,8.29431e-05,8.29431e-05
68,6377.79,0.74443,0.24017,0.94169,0.98232,0.98648,0.99117,0.83459,0.66804,0.20284,0.85331,7.31145e-05,7.31145e-05,7.31145e-05
69,6472.58,0.73363,0.22576,0.93239,0.99396,0.97446,0.99207,0.83297,0.68487,0.20494,0.85626,6.39518e-05,6.39518e-05,6.39518e-05
